SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
590031,DE NORA     ,B ,Q,225.10,230.90,223.60,223.60,223.60,231.40,18,152,34308.00,
590043,HARITA SEAT ,B ,Q,400.20,400.20,388.00,389.00,389.00,401.30,32,139,54341.00,
590051,SAKSOFT LTD ,B ,Q,312.00,326.00,310.00,322.05,321.60,316.25,35,797,249061.00,
590062,ANDHRA SUGAR,B ,Q,313.00,314.75,309.00,309.90,309.90,317.90,42,617,191640.00,
590065,INDIA MOTOR ,B ,Q,854.00,854.00,839.15,843.60,848.90,880.00,23,186,156743.00,
590066,KCP LTD     ,B ,Q,82.95,82.95,81.00,81.80,81.50,82.90,24,1199,98305.00,
590068,KHAITAN INDI,B ,Q,23.95,23.95,22.30,23.15,23.00,24.00,5,77,1776.00,
590071,SUNDARAM FIN,B ,Q,1602.00,1606.00,1579.50,1590.15,1606.00,1611.75,211,1040,1652260.00,
590072,SUNDARAM BRK,B ,Q,306.50,306.50,294.00,296.55,296.55,307.00,17,37,11083.00,
590073,WHEELS INDIA,B ,Q,807.60,820.95,790.00,804.15,790.00,801.00,15,108,87210.00,
590075,LAMBODHARA T,B ,Q,39.30,39.30,36.40,36.70,36.70,37.60,27,920,33968.00,
590078,MAITHAN ALL ,B ,Q,578.00,578.00,533.50,546.85,546.85,578.00,339,5696,3119676.00,
590086,ORISSA MINE ,B ,Q,706.20,712.15,700.00,701.95,705.00,716.05,63,523,367938.00,
590095,GOLDBEES    ,E ,Q,3010.00,3037.00,2996.00,3028.89,3025.00,3026.91,112,855,2588403.00,
590096,LIQUIDBEES  ,F ,Q,1000.00,1000.01,999.99,1000.01,1000.01,1000.01,491,114991,114991640.00,
590097,KOTAKGOLDETF,E ,Q,296.99,300.00,296.99,300.00,300.00,298.00,12,3057,913029.00,
590098,SBI GOLD ETS,E ,Q,3035.00,3065.00,3015.60,3055.56,3055.56,3044.53,42,419,1274028.00,
590099,QUANTUM GOLD,E ,Q,1498.00,1508.01,1498.00,1508.00,1508.00,1505.00,17,125,188083.00,
590101,UTI GOLD ETF,E ,Q,3056.00,3060.00,3021.00,3060.00,3060.00,3056.33,36,275,839781.00,
590103,NIFTY BEES  ,B ,Q,1242.00,1242.00,1217.00,1220.88,1219.58,1246.36,147,2895,3548339.00,
590104,JUNIOR BEES ,B ,Q,282.15,283.00,276.00,276.78,276.80,282.98,58,1685,470809.00,
590106,BANK BEES   ,B ,Q,3183.16,3183.17,3120.50,3124.54,3127.00,3214.57,41,56,176248.00,
590107,KOTAK PSU BK,B ,Q,325.00,325.00,307.40,308.03,307.40,323.09,53,520,162441.00,
590108,PSUBNK BEES ,B ,Q,361.00,361.00,340.00,341.00,341.00,365.45,25,277,95392.00,
590109,SHARIA BEES ,B ,Q,250.00,250.00,246.03,248.14,248.14,250.80,5,8,1984.00,
590110,QUANTUM INDX,B ,Q,1194.50,1194.50,1177.50,1177.67,1177.50,1209.00,32,32,37835.00,
